FilePath,FileName,ShortName,ImageDate
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00001.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00002.JPG,empty,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00003.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00004.JPG,empty,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00005.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00006.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00007.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00008.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00009.JPG,empty,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00010.JPG,empty,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00011.JPG,empty,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00012.JPG,empty,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00013.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00014.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00015.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00016.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00017.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00018.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00019.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00020.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00021.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00022.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00023.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00024.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00025.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00026.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00027.JPG,empty,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00028.JPG,empty,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00029.JPG,empty,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00030.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00031.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00032.JPG,human,12-Jul-17
Z:\TransectTrailCamPics\SU17\DPT\D02-MOP1\,CHIL - D02-MOP1-JU17_00033.JPG,human,12-Jul-17
